sats,time,long,lat,velocity,heading,height,vert-vel,GPS-Longacc,turn-radius,Centre-Line-Deviation,AbsHead,Longacc,Latacc,rel-height,value
8,75400.2,118.8115642,31.87394518,40.629,329.96,13.39,0.396,-0.21,1.53E+02,-4.60E+03,-2190,-0.21,0.26,6.346,safe
7,74728.2,118.8064535,31.88530523,75.244,169.24,7.81,0.324,-0.36,7.64E+02,-3.23E+03,-1990.8,-0.36,0.17,0.883,safe
10,83339.3,118.7257863,31.97662312,84.203,109.12,14.69,1.656,0.11,1.00E+03,-2.62E+03,-970.88,0.11,-0.15,13.281,safe
10,75827.8,118.8214823,31.87924218,51.954,202.88,15.86,-0.288,0.03,5.65E+01,-5.83E+03,-1237.1,0.03,-0.3,8.033,safe
6,75241.7,118.8119965,31.8734182,3.988,318.19,12.89,0.288,0.38,1.83E+00,-4.64E+03,-2201.8,0.38,0.25,6.023,safe
9,74445.3,118.7935886,31.89157202,35.864,50.8,16.6,-0.936,-0.07,6.20E+01,-2.31E+03,-2109.2,0.38,0.35,5.057,safe
8,84017.5,118.7568457,31.96299543,30.18,186.82,23.11,-0.36,-0.26,1.00E+03,-2.66E+03,-1253.2,-0.26,0.49,21.15,safe
9,83637.7,118.7578297,31.96988983,87.161,78.87,30.21,-0.36,-0.13,4.95E+02,-2.27E+03,-1001.1,-0.13,-0.04,29.917,safe
10,82638.8,118.6762667,31.93614893,1.123,225.19,22.29,0.144,0.32,1.00E+03,1.79E+03,-1214.8,0.32,-1.25,18.134,safe
9,74943.3,118.8064068,31.87051992,77.017,262.17,20.56,-1.692,-0.04,1.00E+03,-3.28E+03,-1897.8,-0.04,-0.13,13.355,safe
10,81117.5,118.6773535,31.93654135,2.85,244.53,22.14,0,-0.13,6.69E-01,1.86E+03,-1195.5,-0.13,-0.08,15.078,safe
8,83955.2,118.7570726,31.96492788,31.524,179.45,19.91,-0.396,-0.08,3.27E+02,-2.64E+03,-1260.6,-0.08,-0.2,20.573,safe
10,80732.7,118.6887312,31.92288115,103.199,337.82,25.92,-0.036,0,1.00E+03,1.63E+03,-1102.2,0,0.02,19.738,safe
10,82902.2,118.6796017,31.94946745,45.934,52.91,12.77,0.18,-0.12,1.92E+02,8.36E+02,-1027.1,-0.12,-0.09,7.675,safe
